productid;name;articleid;date created;text;tie-in;name
;Happy Birthday, Thomas | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40434;2009-07-15;It’s Thomas the Tank Engine’s birthday. He wants a party with balloons and presents and silly hats. But Sir Topham Hat needs Thomas to work because all the other engines are busy. But what are they busy doing? It seems that Thomas is in for a big surprise! Happy Birthday, Thomas! is based on the ever-popular The Railway Series by the Rev. W. Awdry. This simple story is perfect for beginning readers.;Tie-in Activity: Each time you read the story with your baby shout, “Surprise!” at the end and gently bounce him on your lap. Your baby will begin to anticipate the moment. Or give an older child some inexpensive party noise-makers and let him celebrate Thomas’s birthday, too. Happy Birthday, Thomas!;./40434-Happy Birthday, Thomas  Book Club by Early Moments.xml
;Oh, The Thinks You Can Think | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40435;2009-07-15;No one book fosters a child's imagination more than Oh, The Thinks You Can Think! In this delightful tome, Dr. Seuss implores children to think about such silly things as, "Kitty O'Sullivan Krauss in her big balloon swimming pool over her house." Dr. Seuss uses crisp, short sentences that are easy to read. Children will recognize most of the words in Oh, The Thinks You Can Think! except for the nonsensical, but delightfully Seusssensical, words that he has invented.;Tie-in Activity: Finger painting is a great thinking activity. To add to the experience, have your child tell you a story about the picture after it’s finished, and write it down for her. (You might even type it and print it out.) Then hang up the picture and its story together—so everyone can see your child’s “Thinks!”;./40435-Oh, The Thinks You Can Think  Book Club by Early Moments.xml
;Summer | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40436;2009-07-15;Every season gives us something to celebrate, and author Alice Low’s classic lilting verse reminds readers of all the joys of summer—from fireworks and fairs to picnics and campouts. Whether it’s your baby’s first summer or your child already has some favorite summertime activities, this simple story will remind you of all sorts of summertime fun!;Tie-in Activity: After you read the story with your child, go back and ask her to point out three summer activities that are her favorites—or ones she’d like to try. You might even make a list of summer activities and keep it handy for when summertime rolls around.;./40436-Summer  Book Club by Early Moments.xml
;Inside, Outside, Upside Down | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40437;2009-07-15;Stan and Jan Berenstain revisit the Bear family in Inside, Outside, Upside Down. Brother Bear loves playing inside big boxes, but he gets an even bigger surprise when he ends up on his way to town inside, outside, and upside down! Using only 23 words, the Berenstains’s ingenious Inside, Outside, Upside Down teaches basic spatial concepts, such as inside and outside, on and off, and others.;Tie-in Activity: Break out the boxes! Cut off the flaps from the top and bottom of a large box, tape the edges, and encourage your child to crawl through the tunnel as you talk about where she is. If you like, your older child can also decorate the box with crayons or markers.;./40437-Inside, Outside, Upside Down  Book Club by Early Moments.xml
;Put Me in the Zoo | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40438;2009-07-15;Robert Lopshire’s Put Me in the Zoo tells the tale of Spot, an amazing leopard who’s eager to live not in the wild, but in a zoo! Yet even as he wows a young boy and girl with his magical dots, the children still ask, “does it take what he’s got?” Chock full of rhymes and wonderment, Robert Lopshire’s Put Me in the Zoo is sure to be all the rage with your young readers, even if Spot does not end up in a cage!;Tie-in Activity: This is a perfect story to help teach the sight word, ZOO. Younger children can spot Z-O-O in the artwork on almost every page. Older children can go on a slightly more challenging “word hunt,” by looking for Z-O-O in the running text.;./40438-Put Me in the Zoo  Book Club by Early Moments.xml
;The Bears’ Christmas | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40439;2009-07-15;It’s Christmas morning, and Santa has left Small Bear with a sled, skis, and skates in The Bears' Christmas. To make the day even more special, Papa Bear decides to show his son how to use all the new equipment. But, as usual, lessons from Papa Bear don’t go exactly as planned and the silliness snowballs. Will this still be the Bears’ best Christmas ever?;Tie-in Activity: Think of an activity or tradition you enjoyed as a child. If you can, share it with your child, adapting for age and circumstances—it’s a wonderful way to build the best memories ever.;./40439-The Bears��� Christmas  Book Club by Early Moments.xml
;Monster Munchies | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40440;2009-07-15;Have no fear! The crazy, colorful, and hungry monsters in this book will help readers count from one to twenty. Monster Munchies is written by Laura Numeroff, author of If You Give a Mouse a Cookie, and imaginatively illustrated by Nate Evans. This book might make readers hungry—for more books! ;Tie-in Activity: These monsters eat some silly things in the classic Monster Munchies! Combine counting and food at your child’s next mealtime. Perhaps have one slice of cheese, two slices of turkey, three orange sections, and so on. If the cook is feeling extra-creative, arrange the food so that it forms a silly monster face on a plate.;./40440-Monster Munchies  Book Club by Early Moments.xml
;The Cat in the Hat Comes Back | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40441;2009-07-15;By November 1958, The Cat in the Hat had sold more than 300,000 copies. Its success prompted Seuss, his wife Helen Geisel, and Phyllis Cerf to found a new type of reader called Beginner Books. It was time for a sequel. When Seuss wrote The Cat in the Hat Comes Back, The New York Times said, "the new antics of The Cat in the Hat Comes Back are just as funny and unexpected as in the original story, The Cat in the Hat." The book, the Times said, had the same "hypnotic rhythms" as the original.;Tie-in Activity: Hat bowling? It’s easy. Paint three (or more) toilet-paper tubes red and let dry. Then add two white stripes to copy the Cat’s hat. Set the tubes (“pins”) upright to form a small triangle, and let your baby roll a ball to knock them down. For an older child, write letters of the alphabet on sticky notes and place under the “pins.” If the child knocks a pin down, she gets that letter. Replace it with a new letter and set up the pins. See if she can get all 26 letters to “win.”;./40441-The Cat in the Hat Comes Back  Book Club by Early Moments.xml
;Thomas and the School Trip | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40442;2009-07-15;Thomas the Tank Engine and his friends are thrilled that children on a school trip have come for a visit! But Thomas has work to do. Will the little engine make it back in time to take the children home? Based on the popular characters in The Railway Series by the Rev. W. Awdry, readers will root for Thomas as he puffs away and saves the day in Thomas and the School Trip.;Tie-in Activity: Make a simple train by removing the lids from two shoeboxes. Make a hole in the narrow side of each box, then string and knot or tape a short length of yarn though the holes to link the boxes together. String and knot another length of yarn in one of the boxes to pull it along. Toot! Toot!;./40442-Thomas and the School Trip  Book Club by Early Moments.xml
;Oh Say Can You Say? | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40443;2009-07-15;It may not be easy, but reading Oh, Say Can You Say? aloud is fun for both reader and listener! Dr. Seuss presents this collection of tangled tongue twisters designed to promote vocabulary growth and reading skills. Of course, they are wrapped in delightful illustrations and verses with a touch of nonsense that marks the genius of Dr. Seuss. So take a deep breath, do some stretches, and get ready to give your tongue a workout in Oh, Say Can You Say? ;Tie-in Activity: If you don’t usually point to words with your finger as you read with your child, this book might make you start! Besides helping you through the tongue twister, moving your finger across the page will help your child learn to scan text from left to right. It could even help your older child start to recognize some sight words.;./40443-Oh Say Can You Say  Book Club by Early Moments.xml
;New Tricks I Can Do! | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40444;2009-07-15;By now everyone has seen Spot and his amazing, color-changing spots. So the circus thinks it’s time for Spot to go in the classic New Tricks I Can Do! But once again Spot knows a few more tricks—and shows them off to his friends. He can change color completely, change the shape of his spots, and even turn plaid! Is the circus still the place for him?;Tie-in Activity: Try some new tricks at painting time. Instead of brushes, use old combs, rubber balls, sponges, or any other safe, washable item to make interesting new textures. Or let your baby “paint” with baby food on her highchair tray—messy but fun!;./40444-New Tricks I Can Do!  Book Club by Early Moments.xml
;4 Pups and a Worm | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40445;2009-07-15;The adorable art and rollicking verse of Eric Seltzer introduce us to four handy pups and Sherm the Worm. This team can do anything you need—from drying your toes to blowing your nose. 4 Pups and a Worm is fun to listen to and even more fun to read. Next time you’re in a jam, this book will make you want to pick up the phone to call 4 Pups and a Worm!;Tie-in Activity: Read this book as motivation before you and your children tackle a chore together! You can even pretend to be your own team (3 Kids and a Mom). Whether it’s cleaning up toys or any other task, getting your children excited about helping will make the work seem much easier.;./40445-4 Pups and a Worm  Book Club by Early Moments.xml
;Stop, Train, Stop! | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40446;2009-07-15;Thomas the Tank Engine puffs along his regular branch line every day at just the right speed, stopping at all the stations to let people on and off. But what happens when he decides to race from the start of his branch line to the finish without a single stop? Bumps and thumps are in store for everyone—as well as a lesson for Thomas in Stop, Train, Stop!;Tie-in Activity: If your little one is already walking and running, try playing this game in a safe, open area. Let your toddler move as fast as he can, then say, “Stop, train, stop!” Your toddler should stop in his tracks until you say, “Go, train, go!” Don’t forget to reverse roles, so your child gets to tell you what to do!;./40446-Stop, Train, Stop!  Book Club by Early Moments.xml
;The Hair Book | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40447;2009-07-15;Written by Graham Tether and illustrated by Roy McKie, The Hair Book is a wonderful introduction into the world of hair. With colorful illustrations and on-target rhymes, children will laugh as they learn. Reading The Hair Book to your children is a wonderful way to encourage them to appreciate and respect differences in others and to be proud of their own unique qualities. ;Tie-in Activity: Draw a simple face on a paper plate. Place it on your child’s high-chair tray and then give her a few strands of cooked, cooled spaghetti so she can arrange the “hair.” With a few nibbles, an older child can give the face a haircut.;./40447-The Hair Book  Book Club by Early Moments.xml
;Hand, Hand, Fingers, Thumb | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40448;2009-07-15;A madcap group of monkeys teaches early learners about the wonders of their hands, their fingers, and their thumbs. Hand, Hand, Fingers, Thumb, written by Al Perkins and illustrated by Eric Gurney, is one of several Bright and Early Books in the Dr. Seuss™ & His Friends book club that helps parents teach their children about specific body parts.;Tie-in Activity: Here’s an easy parent-child keepsake: Use non-toxic poster paints to paint your hand, then make a handprint on a sheet of construction paper and let it dry. Paint your child’s hand in a different color, then add it next to (or nested in) your print. (Note: footprints often work better for infants.) Date, sign, and decorate as you like!;./40448-Hand, Hand, Fingers, Thumb  Book Club by Early Moments.xml
;The Foot Book | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40449;2009-07-15;Readers meet many different feet in this Bright and Early Books story by Dr. Seuss. The rhythmic verse and silly pictures will delight babies just discovering their feet. And the easy-to-read words are perfect for a child who is just getting on her feet as a reader. Either way, readers will have a reason to smile, wiggle some toes, and see that feet are neat!;Tie-in Activity: Play a shoe matching game with a pair of soft baby shoes and one different baby shoe. Give your baby one shoe from the pair, then show him the other two shoes. Ask him which shoe matches—helping as needed. As your baby grows, you can add more shoes to make the game more challenging.;./40449-The Foot Book  Book Club by Early Moments.xml
;Because A Little Bug Went Ka-CHOO! | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40450;2009-07-15;What could happen when a little bug sneezes? In the story Because a Little Bug Went Ka-CHOO!, the hilarious consequences are brought to life with the lyrical rhymes of Rosetta Stone (aka Dr. Seuss writing with Michael Frith). Written with just 120 words, this simple tale of cause-and-effect shows even the youngest readers how actions impact others. ;Tie-in Activity: As you read the story, ask your child to guess what will happen next. Or play a cause-and-effect game with your baby, such as stacking blocks and then knocking them down while you say, “Ka-CHOO!”;./40450-Because A Little Bug Went Ka-CHOO!  Book Club by Early Moments.xml
;The Big Honey Hunt | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40451;2009-07-15;The Bear family has run out of honey. Will Papa Bear get more at the honey store, as Mama suggests, or does he have a better idea? Join Papa and Small Bear on The Big Honey Hunt, and see how following a bee to the right honey tree can be very tricky—and very funny. The very first book about the Bear family from the creative minds of authors and illustrators Stan and Jan Berenstain, The Big Honey Hunt is one sweet tale.;Tie-in Activity: Play a game of follow the “bee.” Use a stuffed toy (the “bee”) to lead your baby on a safe journey around the house. Keep moving the object so that your child can follow it. You might have it finally “land” on a book, so that the game can end with the sweet reward of reading.;./40451-The Big Honey Hunt  Book Club by Early Moments.xml
;The Eye Book | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40452;2009-07-15;The “eyes” have it in this well-crafted first reader by Theo. LeSieg, better known as Dr. Seuss. In The Eye Book, a blue-eyed boy and a pink-eyed bunny see that their eyes can see many things from rings to strings! Whether a child is just discovering her eyes or is starting to read, he or she will want to “see” this book over and over again.;Tie-in Activity: Draw a simple face on a piece of paper and cover the eyes with two blocks. Ask your baby, “Where are the eyes?” and encourage her to remove the blocks. Or let your older child make a face collage on a paper plate, using different features clipped from magazines or newspapers.;./40452-The Eye Book  Book Club by Early Moments.xml
;Cat Traps | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40453;2009-07-15;When a very creative cat wants a snack, it decides to set a few traps. But the traps never seem to work exactly as the cat had planned—until its owner comes home. Cat Traps is a hilarious cause-and-effect book, brought to life with the engaging illustrations of Molly Coxe. The simple, repetitive text in Cat Traps makes it a great book for early readers to try on their own. ;Tie-in Activity: What’s going to happen? As you read Cat Traps with your child, pause in the story and ask your child whether she thinks the cat’s trap will work. Look for clues in the art to see why it might not.;./40453-Cat Traps  Book Club by Early Moments.xml
;Sam and the Firefly | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40454;2009-07-15;One night an owl named Sam teaches a fun-loving firefly named Gus how to write words with the light of the firefly’s tail. But then Gus can’t resist causing mischief! The simple words in the classic story Sam and the Firefly by P.D. Eastman convey an important lesson about responsibility and doing the right thing.;Tie-in Activity: In a darkened room, let your baby’s eyes follow the moving flashlight beam on the wall. Or if space and safety allow, let your child “chase” the beam of light.;./40454-Sam and the Firefly  Book Club by Early Moments.xml
;Wacky Wednesday | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40455;2009-07-15;Wednesday is wacky in this Dr. Seuss tale. The day starts with a shoe on the wall and bananas growing on an apple tree. Before you know it, there's a palm tree in a toilet, and faucets that are upside down. What's going on here? No one seems to be seeing wacky things except our befuddled narrator. Kids and parents will have a wonderful time counting along as they search for all the things that are wrong on each page of Wacky Wednesday.;Tie-in Activity: This book is an activity all on its own. But consider playing a real-life version of it in a room in your house. Create five wacky things in a room (a shoe in an empty pot on a bookshelf) while your child is out of the room. Then see if your child can spot what’s out of place. Don’t forget to reverse roles.;./40455-Wacky Wednesday  Book Club by Early Moments.xml
;Great Day for UP | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40456;2009-07-15;Dr. Seuss gives readers this humorous story all about the word "up"—one of the first sight words taught to children learning to read. In Great Day for UP the energy and rhythm of the text is clearly illustrated with jolly pictures by Quentin Blake. This book will have everyone, everywhere, feeling up! (Well, almost everyone . . . Not surprisingly, Dr. Seuss may have a surprise for his readers.) ;Tie-in Activity: Most parents know all about bedtime stories, but what about wake-up stories? Snuggling together and sharing a book can be a relaxing way to transition your child from a long nap.;./40456-Great Day for UP  Book Club by Early Moments.xml
;The Shape Of Me and Other Stuff | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40457;2009-07-15;This wonderful story by Dr. Seuss rejoices in the uniqueness of all things, because everything has a different shape. From you and me to a camel and a key, no two things ever have quite the same shape, and that’s a reason to shout hooray! And in a departure from his other books, the story is illustrated with silhouettes, so readers really can see the shape of things and other stuff!;Tie-in Activity: As you read through the story, pause and point to a shape to let your child guess the object before you read the word. You might also read this book outside together on a sunny day, then look at clouds—what shapes to you see? Or introduce your baby to his shadow, showing how it can grow bigger, smaller, or disappear in the shade.;./40457-The Shape Of Me and Other Stuff  Book Club by Early Moments.xml
;The Digging-est Dog | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40458;2009-07-15;In The Digging-est Dog, Duke spends his life in the pet store until he is adopted and goes to live on a farm with a boy named Sammy. There Duke learns to dig—and dig and dig and dig! Duke digs himself into a hole—literally. Will he still be able to count on Sammy and the other dogs to help him out? The Digging-est Dog is a delightful story by Al Perkins with illustrations by Eric Gurney. It teaches gentle lessons about perseverance, forgiveness, and doing the right thing.;Tie-in Activity: Try this snack-time twist. Finely crush some graham crackers in a bowl (or a similar crumbly food your child might eat) and let her use a spoon to dig, make piles, and trace patterns in the edible “dirt.”;./40458-The Digging-est Dog  Book Club by Early Moments.xml
;And to Think That I Saw It on Mulberry Street | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=43029;2009-07-28;What will a little boy named Marco tell his father he saw on Mulberry Street—just a plain old horse and wagon? Or could Marco improve the story just a tiny bit? See what springs from the imagination of a young boy through the genius of Dr. Seuss in And to Think That I Saw It on Mulberry Street.;Tie-in Activity: Encourage your child’s imagination with dress-up games. Make paper hats and pretend to be sailors and “sail” around the living room. Long socks tucked into the back of pants can become animal tails that you can swing as you crawl around the floor. Have fun!;./43029-And to Think That I Saw It on Mulberry Street  Book Club by Early Moments.xml
;Fine Feathered Friends | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=43030;2009-07-28;Learn all about birds with the Cat in the Hat in the classic Fine Feathered Friends. Based on the works of Dr. Seuss, this informative story shows readers all kinds of birds—from the biggest (the ostrich) to the smallest (the bee hummingbird) and lots of birds in-between. The lively verse of Fine Feathered Friends by Tish Rabe and colorful illustrations by Aristides Ruiz will keep readers entertained as they fly through the world of birds.;Tie-in Activity: Act like a bird. Waddle around like a penguin, flap your “wings” like an eagle, or stand on one leg like a flamingo—then see if your child can imitate your actions. Then, switch roles.;./43030-Fine Feathered Friends  Book Club by Early Moments.xml
;Marvin K. Mooney... Will You Please Go Now? | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=43032;2009-07-28;"The time has come . . . The time is now . . . Marvin K. Mooney, will you please go now!" Published in 1972, the narrator of this story wants Marvin K. Mooney out, although we never find out why. Columnist Art Buchwald once chided Dr. Seuss for never writing a political book. During the Watergate scandal, Dr. Seuss sent Buchwald a copy of Marvin K. Mooney—with Marvin's name scratched out. In its place Seuss had written in President Richard Nixon's.;Tie-in Activity: Try this Seuss-inspired alphabet game: The first player names a method of travel that starts with the letter A, such as "airplane." The next player might say "bus" or "boat" or "bubble bike!" Continue through the alphabet—remembering that made-up methods of transportation are in perfect Seuss tradition.;./43032-Marvin K. Mooney... Will You Please Go Now  Book Club by Early Moments.xml
;Oh, The THINGS You Can DO That Are GOOD for You! | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=43033;2009-07-28;Take a trip with the Cat in the Hat to far-off Fadoo and learn about things that are good for you! Readers will learn what they need to do to stay healthy from characters inspired by Dr. Seuss, such as the Zing-Singing Zanz that teaches everyone to sing as they wash their hands, or the Snee Snicker Sneeth that knows just how to take care of teeth. The simple rhymes and wacky characters make learning about healthy habits fun.;Tie-in Activity: It’s never too early to begin learning healthy habits—and one of the best ways for your baby to learn is by watching you! Try letting your baby watch you brush your teeth, sing while you wash your hands, and so on. Soon your child will be imitating you!;./43033-Oh, The THINGS You Can DO That Are GOOD for You!  Book Club by Early Moments.xml
;The Bear Detectives | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=43034;2009-07-28;Farmer Ben’s prize-winning pumpkin is missing, and The Bear Detectives are on the case! Brother Bear, Sister Bear, and their friends are ready to track down that pumpkin. But Papa Bear and his dog Snuff want to help, too. Readers will enjoy following the clues—and Papa’s hilarious misadventures—as the Bear Detectives sniff out the truth!;Tie-in Activity: Peer at the world with your child through an inexpensive magnifying glass. Show your baby her fingers or toes, or let your older child investigate grasses, bugs, and other small things that deserve a closer look. You can even take a closer look at the book!;./43034-The Bear Detectives  Book Club by Early Moments.xml
;The Best Nest | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=43035;2009-07-28;Mr. Bird thinks he and Mrs. Bird live in the best nest in the world. But Mrs. Bird does not agree. So the two birds fly off to build a new nest in a better place. But finding a new home isn’t easy—Mr. Bird makes quite a few mistakes. But when Mrs. Bird finally picks the place, will it truly be better? Or is there no place quite like home?;Tie-in Activity: The Birds build a new nest out of all sorts of things—from hay and soda straws to hair! Build a “nest” with your baby using soft blankets to surround the two of you. Or, if you like, help an older child make a nest shape from play dough, then gather grasses, twigs, and other soft materials to press into the dough.;./43035-The Best Nest  Book Club by Early Moments.xml
